file_name	processed	type
bae4c102_fasadgruppen-offentliggor-preliminart-utfall-i-foretradesemissionen-7173398-7.pdf	TRUE	other
bb39b059_announcement-from-the-extraordinary-general-meeting-in-stillfront-group-ab-publ-on-27-march-2026.pdf	TRUE	other
bb4011a7_4014245.pdf	TRUE	other
be2080eb_bioinvent-ar-2025-se.pdf	TRUE	Annual report
bf5bfa03_cint-group-annual-and-sustainability-report-2025.pdf	TRUE	Annual report
c073cdb2_4013127.pdf	TRUE	other
c12464a5_appendix-for-release-no-23-docx.pdf	TRUE	other
c12464a5_reporting-of-transactions-made-by-persons-discharging-managerial-responsibilities-and-persons-closely-associated-with-them-in-better-collective-a-s-shares.pdf	TRUE	other
c2241262_krt-1500-skjemaer.pdf	TRUE	other
c2ed287f_4015021.pdf	TRUE	other
c37249cb_prisma-properties-avyttrar-tva-fastigheter-i-norge-lamnar-den-norska-marknaden.pdf	TRUE	other
c3e0a683_notice-of-the-annual-general-meeting-in-catella-ab.pdf	TRUE	other
c4bc5ea8_4015031.pdf	TRUE	other
c56a0501_4017791.pdf	TRUE	other
c7899b36_4013096.pdf	TRUE	other
